Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Feb. 20, 2021","Feb. 20, 2021",Run,678,8.437082481,3183,6.288090054,0.510316626,9.541832763,117.5740055,0,8313,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5497104691
"Feb. 18, 2021","Feb. 18, 2021",Run,383,4.895463514,1722,5.860835222,0.053146251,10.23745561,1128.961253,0,4525,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5490691363
"Feb. 16, 2021","Feb. 16, 2021",Run,469,5.836479137,2201,6.282311302,0.52848117,9.550603688,113.5329428,0,5749,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5484875284
"Feb. 7, 2021","Feb. 7, 2021",Run,218,2.767154354,997,6.004446532,0.562340929,9.992593924,106.6969322,0,2614,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5455356559
"Feb. 6, 2021","Feb. 6, 2021",Bike Ride,594,26.06364795,5670,3.62575683,0.197452502,16.54824061,303.8698967,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5452898083
"Feb. 4, 2021","Feb. 4, 2021",Run,462,5.744666062,2178,6.317232363,0.550874145,9.497865485,108.917827,0,5686,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5444618362
"Feb. 1, 2021","Feb. 1, 2021",Run,277,3.477470515,1283,6.147827935,0.550126014,9.759544819,109.0658866,0,3357,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5432656819
"Jan. 29, 2021","Jan. 29, 2021",Run,267,3.486434561,1159,5.536777718,0.480858039,10.83663048,124.7769465,0,3061,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5421267031
"Jan. 28, 2021","Jan. 28, 2021",Run,354,4.419274717,1655,6.23943669,0.521309304,9.616232736,115.0948111,0,4325,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5418602542
"Jan. 26, 2021","Jan. 26, 2021",Run,354,4.43626939,1646,6.182276754,0.26550259,9.705165085,225.9856938,0,4305,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5402428258
"Jan. 23, 2021","Jan. 23, 2021",Run,291,3.751573985,1291,5.733416846,0.496819201,10.46496857,120.7682315,0,3399,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5388603499
"Jan. 20, 2021","Jan. 20, 2021",Run,339,4.052698341,1693,6.96072437,0.084903538,8.619759118,706.6854812,0,4386,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5375418736
"Jan. 18, 2021","Jan. 18, 2021",Run,355,4.262572892,1761,6.883674342,0.034618826,8.716287571,1733.166927,160,4566,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5366919244
